No,Order ID,Order Date,Order Date Fix,,X Order Date,X Convert OD
43,CA-2018-101343,43298,01-01-2023,,43298,01-01-2023
54,CA-2018-105816,43445,01-03-2020,,43445,01-03-2020
55,CA-2018-105816,43445,01-03-2020,,43415,09-07-2023
17,CA-2018-105893,43415,09-07-2023,,43361,09-09-2021
71,CA-2018-106075,43361,09-09-2021,,43368,08-04-2020
25,CA-2018-106320,43368,08-04-2020,,43439,05-06-2023
68,CA-2018-106376,43439,05-06-2023,,43392,06-08-2021
69,CA-2018-106376,43439,05-06-2023,,43360,08-03-2020
35,CA-2018-107727,43392,06-08-2021,,43268,07-09-2020
90,CA-2018-109806,43360,08-03-2020,,43205,07-08-2021
91,CA-2018-109806,43360,08-03-2020,,43357,01-09-2023
92,CA-2018-109806,43360,08-03-2020,,43208,07-04-2021
56,CA-2018-111682,43268,07-09-2020,,43260,07-04-2023
57,CA-2018-111682,43268,07-09-2020,,43461,06-04-2021
58,CA-2018-111682,43268,07-09-2020,,43442,07-03-2022
59,CA-2018-111682,43268,07-09-2020,,43170,08-04-2022
60,CA-2018-111682,43268,07-09-2020,,43255,04-08-2021
61,CA-2018-111682,43268,07-09-2020,,43353,06-09-2023
62,CA-2018-111682,43268,07-09-2020,,43116,04-08-2022
13,CA-2018-114412,43205,07-08-2021,,43263,05-01-2023
72,CA-2018-114440,43357,01-09-2023,,43428,08-03-2023
50,CA-2018-115742,43208,07-04-2021,,43297,07-07-2021
51,CA-2018-115742,43208,07-04-2021,,43220,06-04-2020
52,CA-2018-115742,43208,07-04-2021,,43443,07-08-2023
53,CA-2018-115742,43208,07-04-2021,,43385,07-03-2022
6,CA-2018-115812,43260,07-04-2023,,43362,04-09-2020
7,CA-2018-115812,43260,07-04-2023,,43248,07-03-2023
8,CA-2018-115812,43260,07-04-2023,,43339,06-04-2021
9,CA-2018-115812,43260,07-04-2023,,43393,05-09-2022
10,CA-2018-115812,43260,07-04-2023,,43349,07-08-2021
11,CA-2018-115812,43260,07-04-2023,,43131,01-09-2023
12,CA-2018-115812,43260,07-04-2023,,43346,07-04-2021
38,CA-2018-117415,43461,06-04-2021,,43412,07-04-2023
39,CA-2018-117415,43461,06-04-2021,,43399,06-04-2021
40,CA-2018-117415,43461,06-04-2021,,43268,07-03-2022
41,CA-2018-117415,43461,06-04-2021,,43195,05-01-2023
36,CA-2018-117590,43442,07-03-2022,,43413,01-03-2020
37,CA-2018-117590,43442,07-03-2022,,43439,09-07-2023
45,CA-2018-118255,43170,08-04-2022,,43233,09-09-2023
46,CA-2018-118255,43170,08-04-2022,,43271,08-07-2021
70,CA-2018-119823,43255,04-08-2021,,43384,05-04-2020
42,CA-2018-120999,43353,06-09-2023,,43410,07-03-2023
26,CA-2018-121755,43116,04-08-2022,,43443,06-04-2021
27,CA-2018-121755,43116,04-08-2022,,43426,05-09-2022
80,CA-2018-127208,43263,05-01-2023,,43417,05-08-2021
81,CA-2018-127208,43263,05-01-2023,,43216,07-05-2021
63,CA-2018-135545,43428,08-03-2023,,43430,05-03-2022
64,CA-2018-135545,43428,08-03-2023,,,
65,CA-2018-135545,43428,08-03-2023,,,
66,CA-2018-135545,43428,08-03-2023,,,
22,CA-2018-137330,43443,07-08-2023,,,
23,CA-2018-137330,43443,07-08-2023,,,
3,CA-2018-138688,43263,05-01-2023,,,
82,CA-2018-139451,43385,07-03-2022,,,
83,CA-2018-139451,43385,07-03-2022,,,
44,CA-2018-139619,43362,04-09-2020,,,
86,CA-2018-140088,43248,07-03-2023,,,
19,CA-2018-143336,43339,06-04-2021,,,
20,CA-2018-143336,43339,06-04-2021,,,
21,CA-2018-143336,43339,06-04-2021,,,
47,CA-2018-146703,43393,05-09-2022,,,
99,CA-2018-149223,43349,07-08-2021,,,
93,CA-2018-149587,43131,01-09-2023,,,
94,CA-2018-149587,43131,01-09-2023,,,
95,CA-2018-149587,43131,01-09-2023,,,
84,CA-2018-149734,43346,07-04-2021,,,
1,CA-2018-152156,43412,07-04-2023,,,
2,CA-2018-152156,43412,07-04-2023,,,
87,CA-2018-155558,43399,06-04-2021,,,
88,CA-2018-155558,43399,06-04-2021,,,
98,CA-2018-157833,43268,07-09-2020,,,
89,CA-2018-159695,43195,05-01-2023,,,
97,CA-2018-161018,43413,01-03-2020,,,
14,CA-2018-161389,43439,05-06-2023,,,
18,CA-2018-167164,43233,09-09-2023,,,
48,CA-2018-169194,43271,08-07-2021,,,
49,CA-2018-169194,43271,08-07-2021,,,
4,US-2018-108966,43384,05-04-2020,,,
5,US-2018-108966,43384,05-04-2020,,,
96,US-2018-109484,43410,07-03-2023,,,
76,US-2018-118038,43443,07-08-2023,,,
77,US-2018-118038,43443,07-08-2023,,,
78,US-2018-118038,43443,07-08-2023,,,
15,US-2018-118983,43426,05-09-2022,,,
16,US-2018-118983,43426,05-09-2022,,,
85,US-2018-119662,43417,05-08-2021,,,
73,US-2018-134026,43216,07-05-2021,,,
74,US-2018-134026,43216,07-05-2021,,,
75,US-2018-134026,43216,07-05-2021,,,
79,US-2018-147606,43430,05-03-2022,,,
28,US-2018-150630,43360,08-03-2020,,,
29,US-2018-150630,43360,08-03-2020,,,
30,US-2018-150630,43360,08-03-2020,,,
31,US-2018-150630,43360,08-03-2020,,,
32,US-2018-150630,43360,08-03-2020,,,
33,US-2018-150630,43360,08-03-2020,,,
34,US-2018-150630,43360,08-03-2020,,,
24,US-2018-156909,43297,07-07-2021,,,
67,US-2018-164175,43220,06-04-2020,,,
